@relation wordANDdictionary

@attribute "1,-1" numeric
@attribute "1,-2" numeric
@attribute "1,-3" numeric
@attribute "1,-4" numeric
@attribute "1,-5" numeric
@attribute "2,-1" numeric
@attribute "2,-2" numeric
@attribute "2,-3" numeric
@attribute "2,-4" numeric
@attribute "2,-5" numeric
@attribute "3,-1" numeric
@attribute "3,-2" numeric
@attribute "3,-3" numeric
@attribute "3,-4" numeric
@attribute "3,-5" numeric
@attribute "4,-1" numeric
@attribute "4,-2" numeric
@attribute "4,-3" numeric
@attribute "4,-4" numeric
@attribute "4,-5" numeric
@attribute "5,-1" numeric
@attribute "5,-2" numeric
@attribute "5,-3" numeric
@attribute "5,-4" numeric
@attribute "5,-5" numeric
@attribute "role" numeric
@attribute "hard" numeric
@attribute "multiplayer" numeric
@attribute "room" numeric
@attribute "try" numeric
@attribute "element" numeric
@attribute "probably" numeric
@attribute "think" numeric
@attribute "watch" numeric
@attribute "tell" numeric
@attribute "day" numeric
@attribute "pokmon" numeric
@attribute "die" numeric
@attribute "journey" numeric
@attribute "back" numeric
@attribute "use" numeric
@attribute "many" numeric
@attribute "stab" numeric
@attribute "impostor" numeric
@attribute "arent" numeric
@attribute "common" numeric
@attribute "mechanic" numeric
@attribute "secret" numeric
@attribute "across" numeric
@attribute "instead" numeric
@attribute "year" numeric
@attribute "least" numeric
@attribute "often" numeric
@attribute "apex" numeric
@attribute "etc" numeric
@attribute "strategy" numeric
@attribute "another" numeric
@attribute "crewmate" numeric
@attribute "classic" numeric
@attribute "might" numeric
@attribute "way" numeric
@attribute "play" numeric
@attribute "decide" numeric
@attribute "far" numeric
@attribute "older" numeric
@attribute "great" numeric
@attribute "hunt" numeric
@attribute "various" numeric
@attribute "parent" numeric
@attribute "genre" numeric
@attribute "content" numeric
@attribute "skill" numeric
@attribute "portal" numeric
@attribute "im" numeric
@attribute "become" numeric
@attribute "fun" numeric
@attribute "head" numeric
@attribute "extremely" numeric
@attribute "uk" numeric
@attribute "dragon" numeric
@attribute "swearing" numeric
@attribute "power" numeric
@attribute "sound" numeric
@attribute "create" numeric
@attribute "without" numeric
@attribute "much" numeric
@attribute "mobile" numeric
@attribute "redemption" numeric
@attribute "focus" numeric
@attribute "whether" numeric
@attribute "youve" numeric
@attribute "weapon" numeric
@attribute "time" numeric
@attribute "alien" numeric
@attribute "sword" numeric
@attribute "able" numeric
@attribute "present" numeric
@attribute "something" numeric
@attribute "galaxy" numeric
@attribute "actually" numeric
@attribute "face" numeric
@attribute "fall" numeric
@attribute "ink" numeric
@attribute "ios" numeric
@attribute "choose" numeric
@attribute "ive" numeric
@attribute "firstperson" numeric
@attribute "handle" numeric
@attribute "read" numeric
@attribute "real" numeric
@attribute "gear" numeric
@attribute "reason" numeric
@attribute "worth" numeric
@attribute "worse" numeric
@attribute "mature" numeric
@attribute "original" numeric
@attribute "party" numeric
@attribute "developer" numeric
@attribute "drink" numeric
@attribute "hide" numeric
@attribute "high" numeric
@attribute "download" numeric
@attribute "social" numeric
@attribute "scene" numeric
@attribute "fallout" numeric
@attribute "kid" numeric
@attribute "match" numeric
@attribute "check" numeric
@attribute "quite" numeric
@attribute "let" numeric
@attribute "night" numeric
@attribute "graphic" numeric
@attribute "purchase" numeric
@attribute "three" numeric
@attribute "inappropriate" numeric
@attribute "past" numeric
@attribute "title" numeric
@attribute "character" numeric
@attribute "though" numeric
@attribute "definitely" numeric
@attribute "allow" numeric
@attribute "incredible" numeric
@attribute "among" numeric
@attribute "enjoy" numeric
@attribute "include" numeric
@attribute "censor" numeric
@attribute "voice" numeric
@attribute "family" numeric
@attribute "release" numeric
@attribute "give" numeric
@attribute "board" numeric
@attribute "bring" numeric
@attribute "competitive" numeric
@attribute "complete" numeric
@attribute "pretty" numeric
@attribute "old" numeric
@attribute "amazing" numeric
@attribute "life" numeric
@attribute "come" numeric
@attribute "coop" numeric
@attribute "challenge" numeric
@attribute "child" numeric
@attribute "everyone" numeric
@attribute "evil" numeric
@attribute "light" numeric
@attribute "choice" numeric
@attribute "nintendo" numeric
@attribute "talk" numeric
@attribute "together" numeric
@attribute "since" numeric
@attribute "campaign" numeric
@attribute "update" numeric
@attribute "anyone" numeric
@attribute "favorite" numeric
@attribute "space" numeric
@attribute "setting" numeric
@attribute "isnt" numeric
@attribute "add" numeric
@attribute "age" numeric
@attribute "movie" numeric
@attribute "other" numeric
@attribute "already" numeric
@attribute "legend" numeric
@attribute "art" numeric
@attribute "view" numeric
@attribute "boss" numeric
@attribute "move" numeric
@attribute "enough" numeric
@attribute "simply" numeric
@attribute "strong" numeric
@attribute "fighter" numeric
@attribute "little" numeric
@attribute "sim" numeric
@attribute "switch" numeric
@attribute "friend" numeric
@attribute "alcohol" numeric
@attribute "store" numeric
@attribute "story" numeric
@attribute "blood" numeric
@attribute "make" numeric
@attribute "great" numeric
@attribute "game" numeric
@attribute "do" numeric
@attribute "nt" numeric
@attribute "time" numeric
@attribute "best" numeric
@attribute "world" numeric
@attribute "kid" numeric
@attribute "player" numeric
@attribute "lot" numeric
@attribute "one" numeric
@attribute "like" numeric
@attribute "also" numeric
@attribute "really" numeric
@attribute classification {P, PE}

@data
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,P
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,P
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,P
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,1,P
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,0,P
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,2,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,2,1,1,1,2,1,0,1,1,2,1,1,1,P
2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,2,1,1,1,1,1,0,1,1,1,1,1,0,P
2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,1,1,1,1,1,0,1,0,1,1,1,0,P
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,P
