@relation wordANDdictionary

@attribute "-5" numeric
@attribute "-4" numeric
@attribute "-3" numeric
@attribute "-2" numeric
@attribute "-1" numeric
@attribute "0" numeric
@attribute "1" numeric
@attribute "2" numeric
@attribute "3" numeric
@attribute "4" numeric
@attribute "5" numeric
@attribute "role" numeric
@attribute "hard" numeric
@attribute "multiplayer" numeric
@attribute "room" numeric
@attribute "try" numeric
@attribute "element" numeric
@attribute "probably" numeric
@attribute "think" numeric
@attribute "watch" numeric
@attribute "tell" numeric
@attribute "day" numeric
@attribute "pokmon" numeric
@attribute "die" numeric
@attribute "journey" numeric
@attribute "back" numeric
@attribute "use" numeric
@attribute "many" numeric
@attribute "stab" numeric
@attribute "impostor" numeric
@attribute "arent" numeric
@attribute "common" numeric
@attribute "mechanic" numeric
@attribute "secret" numeric
@attribute "across" numeric
@attribute "instead" numeric
@attribute "year" numeric
@attribute "least" numeric
@attribute "often" numeric
@attribute "apex" numeric
@attribute "etc" numeric
@attribute "strategy" numeric
@attribute "another" numeric
@attribute "crewmate" numeric
@attribute "classic" numeric
@attribute "might" numeric
@attribute "way" numeric
@attribute "play" numeric
@attribute "decide" numeric
@attribute "far" numeric
@attribute "older" numeric
@attribute "great" numeric
@attribute "hunt" numeric
@attribute "various" numeric
@attribute "parent" numeric
@attribute "genre" numeric
@attribute "content" numeric
@attribute "skill" numeric
@attribute "portal" numeric
@attribute "im" numeric
@attribute "become" numeric
@attribute "fun" numeric
@attribute "head" numeric
@attribute "extremely" numeric
@attribute "uk" numeric
@attribute "dragon" numeric
@attribute "swearing" numeric
@attribute "power" numeric
@attribute "sound" numeric
@attribute "create" numeric
@attribute "without" numeric
@attribute "much" numeric
@attribute "mobile" numeric
@attribute "redemption" numeric
@attribute "focus" numeric
@attribute "whether" numeric
@attribute "youve" numeric
@attribute "weapon" numeric
@attribute "time" numeric
@attribute "alien" numeric
@attribute "sword" numeric
@attribute "able" numeric
@attribute "present" numeric
@attribute "something" numeric
@attribute "galaxy" numeric
@attribute "actually" numeric
@attribute "face" numeric
@attribute "fall" numeric
@attribute "ink" numeric
@attribute "ios" numeric
@attribute "choose" numeric
@attribute "ive" numeric
@attribute "firstperson" numeric
@attribute "handle" numeric
@attribute "read" numeric
@attribute "real" numeric
@attribute "gear" numeric
@attribute "reason" numeric
@attribute "worth" numeric
@attribute "worse" numeric
@attribute "mature" numeric
@attribute "original" numeric
@attribute "party" numeric
@attribute "developer" numeric
@attribute "drink" numeric
@attribute "hide" numeric
@attribute "high" numeric
@attribute "download" numeric
@attribute "social" numeric
@attribute "scene" numeric
@attribute "fallout" numeric
@attribute "kid" numeric
@attribute "match" numeric
@attribute "check" numeric
@attribute "quite" numeric
@attribute "let" numeric
@attribute "night" numeric
@attribute "graphic" numeric
@attribute "purchase" numeric
@attribute "three" numeric
@attribute "inappropriate" numeric
@attribute "past" numeric
@attribute "title" numeric
@attribute "character" numeric
@attribute "though" numeric
@attribute "definitely" numeric
@attribute "allow" numeric
@attribute "incredible" numeric
@attribute "among" numeric
@attribute "enjoy" numeric
@attribute "include" numeric
@attribute "censor" numeric
@attribute "voice" numeric
@attribute "family" numeric
@attribute "release" numeric
@attribute "give" numeric
@attribute "board" numeric
@attribute "bring" numeric
@attribute "competitive" numeric
@attribute "complete" numeric
@attribute "pretty" numeric
@attribute "old" numeric
@attribute "amazing" numeric
@attribute "life" numeric
@attribute "come" numeric
@attribute "coop" numeric
@attribute "challenge" numeric
@attribute "child" numeric
@attribute "everyone" numeric
@attribute "evil" numeric
@attribute "light" numeric
@attribute "choice" numeric
@attribute "nintendo" numeric
@attribute "talk" numeric
@attribute "together" numeric
@attribute "since" numeric
@attribute "campaign" numeric
@attribute "update" numeric
@attribute "anyone" numeric
@attribute "favorite" numeric
@attribute "space" numeric
@attribute "setting" numeric
@attribute "isnt" numeric
@attribute "add" numeric
@attribute "age" numeric
@attribute "movie" numeric
@attribute "other" numeric
@attribute "already" numeric
@attribute "legend" numeric
@attribute "art" numeric
@attribute "view" numeric
@attribute "boss" numeric
@attribute "move" numeric
@attribute "enough" numeric
@attribute "simply" numeric
@attribute "strong" numeric
@attribute "fighter" numeric
@attribute "little" numeric
@attribute "sim" numeric
@attribute "switch" numeric
@attribute "friend" numeric
@attribute "alcohol" numeric
@attribute "store" numeric
@attribute "story" numeric
@attribute classification {P, PE}

@data
0,34,30,144,0,4031,0,101,56,5,0,2,4,2,1,2,3,2,9,4,1,4,0,1,0,1,2,6,0,0,2,7,1,0,1,1,10,2,1,0,3,1,3,0,2,0,8,35,0,0,2,9,0,0,8,3,5,2,0,6,3,14,3,4,0,0,3,0,3,2,0,10,0,0,2,0,0,5,6,2,2,3,2,1,0,6,1,0,0,0,1,2,0,1,2,3,0,2,0,4,5,0,0,0,0,0,1,1,0,0,0,28,0,0,4,11,0,2,0,0,4,1,0,8,5,0,2,1,0,6,0,3,1,0,0,6,0,1,0,0,7,13,2,0,4,1,1,10,0,1,0,1,0,3,1,1,4,0,2,0,0,3,4,0,7,5,3,0,0,3,0,3,0,0,0,0,0,7,0,0,3,2,1,3,P
0,9,17,55,0,2676,0,72,30,3,0,0,0,4,0,4,0,2,1,1,0,0,0,4,0,3,7,0,0,0,2,0,1,0,0,0,17,1,0,1,0,1,0,0,3,3,3,10,1,4,0,2,1,0,0,2,2,1,0,3,1,4,1,0,0,3,0,1,0,1,0,2,0,0,0,1,2,1,9,2,1,0,1,5,0,0,1,0,0,1,0,2,1,0,2,0,1,2,1,0,0,13,5,0,0,0,1,1,3,2,0,0,1,2,0,2,0,0,0,2,0,0,5,4,0,1,0,0,0,1,2,0,2,1,2,1,0,1,2,0,2,0,0,1,2,0,1,0,1,0,1,0,7,1,3,1,0,2,0,3,1,0,3,1,0,0,1,0,3,0,0,0,1,0,0,2,1,2,0,6,10,0,0,4,P
0,7,21,70,0,3310,0,88,32,5,0,2,0,3,4,4,1,2,0,2,1,9,0,0,5,1,0,1,0,0,0,0,0,2,0,1,3,2,0,0,0,0,1,0,4,2,12,18,0,3,0,4,1,1,0,0,1,0,5,1,1,3,0,1,0,0,0,1,1,3,0,2,0,0,0,2,7,1,12,0,0,0,0,3,0,0,0,1,0,0,1,2,1,0,0,0,0,1,1,0,0,4,6,0,0,0,2,0,1,1,0,0,0,8,3,2,0,2,0,2,0,2,4,4,3,1,0,0,0,1,1,0,1,1,0,4,0,0,0,0,1,1,1,7,3,1,2,0,0,12,0,1,9,2,4,0,0,0,1,2,0,1,2,3,1,1,0,2,0,1,7,0,1,0,2,2,0,3,1,1,3,0,0,6,P
1,0,38,113,0,3815,0,80,26,0,0,1,1,10,0,13,5,1,0,0,0,1,0,5,0,1,3,6,0,0,2,0,2,2,1,1,0,0,0,4,0,1,4,0,2,4,7,29,1,1,0,8,0,1,0,7,6,1,0,0,1,2,1,1,0,0,0,5,0,3,5,0,1,0,2,1,4,10,4,3,0,1,0,7,0,1,2,0,0,0,3,0,0,0,1,2,2,3,1,0,0,3,2,3,0,0,0,0,0,0,0,0,5,6,0,16,0,1,3,4,0,0,5,12,1,0,4,0,0,5,1,0,0,0,1,3,0,1,6,2,0,0,0,1,2,1,2,0,3,0,0,2,1,0,4,1,1,2,1,2,4,2,1,10,0,1,2,1,6,2,2,1,0,5,1,0,7,1,0,1,6,0,3,5,P
0,6,25,77,0,3302,0,63,21,4,0,0,0,2,2,8,1,0,0,0,0,0,0,2,1,4,8,8,0,0,1,0,3,0,2,3,2,1,1,0,0,3,2,0,2,0,16,20,0,0,0,1,1,2,0,3,2,7,0,0,4,4,1,0,0,0,0,7,0,0,2,3,0,1,1,0,3,3,11,5,0,0,0,4,0,1,1,0,0,0,3,0,0,1,0,3,4,1,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,3,2,6,0,2,1,0,0,1,6,7,1,1,1,0,0,3,2,0,0,4,2,5,1,3,0,4,1,0,0,2,7,2,4,0,0,4,1,3,0,0,3,3,5,1,0,0,1,1,2,0,0,0,1,0,0,1,26,2,5,1,0,0,1,0,1,2,2,0,1,12,P
0,4,23,91,0,3787,0,89,23,0,0,0,2,2,0,8,0,0,0,7,1,4,0,0,4,5,6,3,0,0,0,0,3,3,2,0,5,0,2,1,0,4,3,0,0,1,16,15,2,0,1,4,1,5,0,5,3,1,1,0,3,5,0,0,0,0,0,2,3,0,2,1,0,0,0,3,2,2,14,1,0,4,2,4,0,0,1,5,0,0,3,0,0,1,0,2,0,2,1,0,0,2,0,0,0,0,1,1,1,1,0,0,1,11,1,5,3,3,1,3,0,1,7,4,0,2,3,0,0,1,1,0,0,0,1,3,0,0,0,6,2,2,0,6,5,3,4,0,0,1,0,1,0,0,2,2,1,0,1,1,1,0,2,2,1,0,4,0,0,0,22,4,6,4,0,1,2,1,0,0,7,0,4,11,P
0,11,9,71,0,4688,0,100,36,7,0,0,2,4,2,3,2,1,0,14,2,1,0,1,3,3,0,3,0,0,2,0,1,1,1,2,8,1,1,0,1,4,3,0,7,2,5,21,1,3,0,7,4,1,1,1,0,2,2,0,3,0,0,0,0,6,0,0,1,0,1,1,0,0,0,2,3,1,6,2,0,0,0,2,0,1,1,2,0,0,2,0,0,0,17,4,7,0,1,0,0,10,0,2,0,1,0,1,1,0,0,0,38,2,0,3,0,0,18,3,0,1,1,8,3,0,4,0,0,3,2,0,0,0,7,5,2,1,0,4,1,1,0,7,7,0,1,0,2,0,1,1,2,2,3,6,2,26,17,0,3,1,2,8,4,1,1,2,0,2,0,2,1,2,0,1,0,1,8,2,2,0,9,7,P
0,0,11,58,0,2502,0,56,29,0,0,0,0,4,0,5,3,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,2,0,0,1,4,1,0,0,0,1,0,0,6,2,1,17,0,2,0,1,1,0,0,0,0,3,0,0,4,1,0,1,0,0,0,1,2,3,2,1,18,0,0,1,3,2,2,0,0,1,1,1,8,2,2,1,0,28,4,0,0,0,0,1,0,2,1,0,0,0,2,2,0,0,0,22,1,0,0,0,3,1,2,3,0,5,2,1,0,1,8,7,2,5,2,1,1,4,1,0,0,0,2,1,0,0,2,1,7,1,1,0,2,2,0,1,0,2,1,0,0,0,4,0,1,0,2,0,0,0,2,2,0,0,1,0,4,2,0,3,3,2,1,0,0,0,0,1,2,0,0,0,P
0,12,14,34,0,2714,0,52,36,0,0,0,2,0,0,6,2,0,0,2,0,6,0,2,2,0,2,2,0,0,4,0,0,2,0,0,0,4,0,0,0,4,2,0,2,2,6,22,2,4,0,0,0,0,0,0,0,6,0,0,4,0,2,0,0,0,0,0,0,0,0,2,10,0,2,0,2,6,8,0,0,0,2,4,8,2,0,0,0,12,4,0,4,2,0,0,2,2,2,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,2,0,16,0,0,0,0,4,2,0,4,0,0,0,8,0,0,0,0,2,2,0,0,0,2,4,0,4,0,2,0,4,0,0,0,0,2,0,2,2,4,0,0,0,0,0,0,0,0,0,2,0,2,4,2,0,4,0,0,0,0,0,0,0,0,2,0,40,0,P
0,4,26,100,0,3088,0,64,42,0,0,1,2,7,0,7,2,4,3,1,0,6,0,0,0,3,4,3,0,0,0,0,1,1,2,0,2,2,0,0,0,3,2,0,3,1,3,21,0,0,0,9,0,5,0,3,0,4,0,0,4,3,0,1,0,2,0,0,3,0,1,6,16,0,2,0,4,6,13,0,0,1,1,1,4,4,2,0,0,4,1,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,1,44,0,0,0,1,7,1,0,3,0,3,2,0,0,2,6,6,2,1,1,0,0,3,2,0,0,0,1,0,1,2,3,0,6,1,1,1,5,4,0,0,1,1,0,1,2,0,1,0,1,0,0,1,2,1,0,0,1,0,1,0,2,1,0,1,1,1,0,0,2,1,4,1,3,0,1,7,P
