@relation sentiment

@attribute "1,-1" numeric
@attribute "1,-2" numeric
@attribute "1,-3" numeric
@attribute "1,-4" numeric
@attribute "1,-5" numeric
@attribute "2,-1" numeric
@attribute "2,-2" numeric
@attribute "2,-3" numeric
@attribute "2,-4" numeric
@attribute "2,-5" numeric
@attribute "3,-1" numeric
@attribute "3,-2" numeric
@attribute "3,-3" numeric
@attribute "3,-4" numeric
@attribute "3,-5" numeric
@attribute "4,-1" numeric
@attribute "4,-2" numeric
@attribute "4,-3" numeric
@attribute "4,-4" numeric
@attribute "4,-5" numeric
@attribute "5,-1" numeric
@attribute "5,-2" numeric
@attribute "5,-3" numeric
@attribute "5,-4" numeric
@attribute "5,-5" numeric
@attribute classification {P, PE}

@data
0,3,1,1,1,10,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,P
0,55,10,1,0,20,7,0,0,1,15,8,2,1,0,2,3,1,0,0,0,0,0,0,0,P
0,7,0,0,0,74,2,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,P
0,1,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,P
0,6,5,1,1,18,5,2,0,0,9,5,1,0,0,1,0,0,0,0,0,0,0,0,0,P
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
0,27,22,4,0,28,12,6,1,0,6,2,3,2,0,2,1,1,0,0,0,0,0,0,0,P
0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,P
0,11,5,0,0,19,4,2,1,0,5,3,0,0,0,2,1,0,0,0,0,0,0,0,0,P
0,3,4,0,0,15,3,0,1,0,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0,P
0,21,2,0,0,25,4,2,1,0,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,P
0,17,1,2,0,5,4,0,0,0,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,P
0,9,0,0,0,5,4,0,0,0,3,4,0,1,0,0,1,0,0,0,0,0,0,0,0,P
0,6,1,0,0,13,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,P
0,4,0,0,0,4,3,1,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,P
0,11,1,0,0,5,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,P
0,2,1,0,0,2,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,P
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,P
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
0,12,3,1,0,21,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,P
0,1,1,1,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,P
0,46,14,8,0,101,13,2,3,0,21,14,4,1,0,4,2,2,0,0,0,0,0,0,0,P
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
0,1,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
0,2,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
0,4,1,1,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
0,8,3,0,0,19,6,1,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,P
0,12,5,2,0,31,12,7,3,0,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,P
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P
