@relation sentiment

@attribute "1,-1" numeric
@attribute "1,-2" numeric
@attribute "1,-3" numeric
@attribute "1,-4" numeric
@attribute "1,-5" numeric
@attribute "2,-1" numeric
@attribute "2,-2" numeric
@attribute "2,-3" numeric
@attribute "2,-4" numeric
@attribute "2,-5" numeric
@attribute "3,-1" numeric
@attribute "3,-2" numeric
@attribute "3,-3" numeric
@attribute "3,-4" numeric
@attribute "3,-5" numeric
@attribute "4,-1" numeric
@attribute "4,-2" numeric
@attribute "4,-3" numeric
@attribute "4,-4" numeric
@attribute "4,-5" numeric
@attribute "5,-1" numeric
@attribute "5,-2" numeric
@attribute "5,-3" numeric
@attribute "5,-4" numeric
@attribute "5,-5" numeric
@attribute classification {P, PE}

@data
0,661,267,196,7,1579,239,82,48,2,725,187,49,32,2,127,26,11,0,0,3,0,0,1,0,P
0,55,10,1,0,20,7,0,0,1,15,8,2,1,0,2,3,1,0,0,0,0,0,0,0,P
0,62,10,1,0,94,9,0,0,1,18,9,2,1,0,3,3,1,0,0,1,0,0,0,0,P
0,63,11,1,0,96,9,0,0,1,19,10,2,1,0,3,3,1,0,0,1,0,0,0,0,P
0,69,16,2,1,114,14,2,0,1,28,15,3,1,0,4,3,1,0,0,1,0,0,0,0,P
0,69,16,2,1,114,14,2,0,1,28,15,3,1,0,4,3,1,0,0,1,0,0,0,0,P
0,69,16,2,1,114,14,2,0,1,28,15,3,1,0,4,3,1,0,0,1,0,0,0,0,P
0,96,38,6,1,142,26,8,1,1,34,17,6,3,0,6,4,2,0,0,1,0,0,0,0,P
0,97,38,6,1,144,27,8,1,1,34,17,6,3,0,7,4,2,0,0,1,0,0,0,0,P
0,108,43,6,1,163,31,10,2,1,39,20,6,3,0,9,5,2,0,0,1,0,0,0,0,P
0,111,47,6,1,178,34,10,3,1,44,22,7,3,0,11,5,2,0,0,1,0,0,0,0,P
0,132,49,6,1,203,38,12,4,1,48,27,7,3,0,12,5,2,0,0,1,0,0,0,0,P
0,149,50,8,1,208,42,12,4,1,57,30,9,3,0,12,5,2,0,0,1,0,0,0,0,P
0,158,50,8,1,213,46,12,4,1,60,34,9,4,0,12,6,2,0,0,1,0,0,0,0,P
0,164,51,8,1,226,47,12,5,1,62,34,9,4,0,13,6,2,0,0,1,0,0,0,0,P
0,168,51,8,1,230,50,13,5,1,65,36,9,4,0,14,6,2,0,0,1,0,0,0,0,P
0,179,52,8,1,235,54,13,5,1,67,36,9,4,0,15,6,2,0,0,1,0,0,0,0,P
0,181,53,8,1,237,54,13,5,2,67,36,9,5,1,16,6,2,0,0,1,0,0,0,0,P
