@relation sentiment

@attribute "-5" numeric
@attribute "-4" numeric
@attribute "-3" numeric
@attribute "-2" numeric
@attribute "-1" numeric
@attribute "0" numeric
@attribute "1" numeric
@attribute "2" numeric
@attribute "3" numeric
@attribute "4" numeric
@attribute "5" numeric
@attribute classification {P, PE}

@data
0,0,1,37,0,4383,0,114,37,4,0,P
0,1,0,4,0,1133,0,8,9,5,0,PE
0,0,8,2,0,998,0,9,4,0,0,PE
0,0,0,15,0,1693,0,21,10,0,0,PE
0,0,1,9,0,1093,0,11,1,1,0,PE
0,1,0,9,0,1746,0,25,11,1,0,PE
0,1,3,12,0,2244,0,28,5,0,0,PE
0,0,0,5,0,1614,0,14,2,1,0,PE
0,0,2,7,0,2107,0,13,5,1,0,PE
0,0,0,8,0,925,0,11,0,1,0,PE
0,0,0,5,0,746,0,13,2,0,0,PE
0,0,0,8,0,1415,0,16,8,1,0,PE
0,0,0,5,0,1114,0,6,11,4,0,PE
0,0,0,12,0,1937,0,27,13,0,0,PE
0,1,2,7,0,1099,0,17,7,4,0,PE
0,1,0,0,0,856,0,10,11,0,0,PE
0,0,0,6,0,1119,0,10,3,0,0,PE
0,0,0,8,0,1566,0,13,9,1,0,PE
0,0,0,6,0,976,0,13,1,0,0,PE
0,0,0,6,0,1324,0,13,9,6,0,PE
0,0,0,7,0,1293,0,22,1,1,0,PE
0,0,1,6,0,1294,0,23,9,5,0,PE
0,0,2,3,0,1435,0,7,4,0,0,PE
0,0,0,12,0,1309,0,20,6,11,0,PE
0,0,0,4,0,764,0,8,5,1,0,PE
0,0,1,9,0,1180,0,6,0,0,0,PE
0,0,0,7,0,1360,0,16,10,0,0,PE
0,0,4,8,0,2037,0,15,3,0,0,PE
0,0,0,4,0,1768,0,26,9,0,0,PE
0,0,0,8,0,1566,0,13,9,1,0,PE
0,0,1,5,0,1437,0,12,3,0,0,PE
0,0,1,6,0,906,0,10,0,0,0,PE
0,0,0,2,0,906,0,6,11,4,0,PE
0,1,0,4,0,1133,0,8,9,5,0,PE
0,0,8,2,0,998,0,9,4,0,0,PE
0,0,0,15,0,1693,0,21,10,0,0,PE
0,0,1,9,0,1093,0,11,1,1,0,PE
0,1,0,9,0,1746,0,25,11,1,0,PE
0,1,3,12,0,2244,0,28,5,0,0,PE
0,0,0,5,0,1614,0,14,2,1,0,PE
0,0,2,7,0,2107,0,13,5,1,0,PE
0,0,0,8,0,925,0,11,0,1,0,PE
0,0,0,5,0,746,0,13,2,0,0,PE
0,0,0,8,0,1415,0,16,8,1,0,PE
0,0,0,5,0,1114,0,6,11,4,0,PE
0,0,0,12,0,1937,0,27,13,0,0,PE
0,1,2,7,0,1099,0,17,7,4,0,PE
0,1,0,0,0,856,0,10,11,0,0,PE
0,0,0,6,0,1119,0,10,3,0,0,PE
0,0,0,8,0,1566,0,13,9,1,0,PE
0,0,0,6,0,976,0,13,1,0,0,PE
